# char	IDS
# Generated by scripts/extract-structure.ts — do not edit.
# Derived from KanjiVG (c) Ulrich Apel, CC BY-SA 3.0 — https://kanjivg.tagaini.net/
㐭	⿱亠回
㓁	⿱冖儿
㕣	⿱八口
㝵	⿱旦寸
䍃	⿱月缶
䏍	⿱厶月
䙳	⿱覀火
䩗	⿰革月
䩻	⿰革馬
三	⿱一手
丕	⿱不一
个	⿱人丨
主	⿱亠王
乏	⿱丿之
乢	⿰山乙
乱	⿰舌乙
乳	⿰孚乙
乾	⿰𠦝乞
亀	⿱𠂊电
予	⿱マ了
云	⿱二厶
亘	⿱二旦
亚	⿱一业
些	⿱此二
亢	⿱亠几
交	⿱亠父
亥	⿱亠人
亩	⿱亠田
亶	⿱㐭旦
什	⿰亻十
仁	⿰亻二
仂	⿰亻力
仄	⿸厂人
仆	⿰亻卜
仇	⿰亻九
仍	⿰亻乃
从	⿰人人
仏	⿰亻厶
仔	⿰亻子
仕	⿰亻士
他	⿰亻也
仗	⿰亻丈
付	⿰亻寸
仙	⿰亻山
仝	⿱人工
仟	⿰亻千
代	⿰亻弋
仭	⿰亻刄
仮	⿰亻反
仰	⿰亻卬
仲	⿰亻中
件	⿰亻牛
价	⿰亻介
任	⿰亻壬
企	⿱人止
伉	⿰亻亢
伊	⿰亻尹
伍	⿰亻五
伎	⿰亻支
伏	⿰亻犬
伐	⿰亻戈
休	⿰亻木
会	⿱人云
伜	⿰亻卆
伝	⿰亻云
伯	⿰亻白
估	⿰亻古
伴	⿰亻半
伶	⿰亻令
伸	⿰亻申
伺	⿰亻司
似	⿰亻以
伽	⿰亻加
佃	⿰亻田
但	⿰亻旦
佇	⿰亻宁
位	⿰亻立
住	⿰亻主
佐	⿰亻左
佑	⿰亻右
体	⿰亻本
何	⿰亻可
佗	⿰亻它
佚	⿰亻失
佛	⿰亻弗
作	⿰亻乍
佝	⿰亻句
佯	⿰亻羊
佰	⿰亻百
佳	⿰亻圭
併	⿰亻并
佶	⿰亻吉
佻	⿰亻兆
佼	⿰亻交
使	⿰亻吏
侈	⿰亻多
例	⿰亻列
侍	⿰亻寺
侏	⿰亻朱
侑	⿰亻有
侘	⿰亻宅
供	⿰亻共
依	⿰亻衣
侠	⿰亻夾
価	⿰亻覀
侫	⿰亻妄
侭	⿰亻尽
侮	⿰亻毎
侶	⿰亻呂
便	⿰亻更
係	⿰亻系
促	⿰亻足
俄	⿰亻我
俊	⿰亻夋
俐	⿰亻利
俑	⿰亻甬
俔	⿰亻見
俗	⿰亻谷
俘	⿰亻孚
俚	⿰亻里
俛	⿰亻免
保	⿰亻呆
俟	⿰亻矣
信	⿰亻言
俤	⿰亻弟
俥	⿰亻車
俯	⿰亻府
俱	⿰亻具
俳	⿰亻非
俵	⿰亻表
