# char	variant	source-field
# Generated by scripts/extract-variant.ts — do not edit.
# Derived from the Unicode Character Database (c) Unicode, Inc.
万	萬	kTraditionalVariant
与	與	kTraditionalVariant
乱	亂	kTraditionalVariant
争	爭	kTraditionalVariant
会	會	kTraditionalVariant
体	體	kTraditionalVariant
余	餘	kTraditionalVariant
党	黨	kTraditionalVariant
写	寫	kTraditionalVariant
励	勵	kTraditionalVariant
区	區	kTraditionalVariant
医	醫	kTraditionalVariant
却	卻	kTraditionalVariant
厘	釐	kTraditionalVariant
参	參	kTraditionalVariant
双	雙	kTraditionalVariant
叙	敘	kTraditionalVariant
号	號	kTraditionalVariant
嘱	囑	kTraditionalVariant
国	國	kTraditionalVariant
堕	墮	kTraditionalVariant
壮	壯	kTraditionalVariant
声	聲	kTraditionalVariant
奥	奧	kTraditionalVariant
奨	奬	kTraditionalVariant
学	學	kTraditionalVariant
宝	寶	kTraditionalVariant
寝	寢	kTraditionalVariant
寿	壽	kTraditionalVariant
将	將	kTraditionalVariant
属	屬	kTraditionalVariant
峡	峽	kTraditionalVariant
径	徑	kTraditionalVariant
恋	戀	kTraditionalVariant
惧	懼	kTraditionalVariant
惨	慘	kTraditionalVariant
担	擔	kTraditionalVariant
挟	挾	kTraditionalVariant
携	攜	kTraditionalVariant
数	數	kTraditionalVariant
断	斷	kTraditionalVariant
旧	舊	kTraditionalVariant
昼	晝	kTraditionalVariant
条	條	kTraditionalVariant
来	來	kTraditionalVariant
枢	樞	kTraditionalVariant
楼	樓	kTraditionalVariant
欧	歐	kTraditionalVariant
残	殘	kTraditionalVariant
殴	毆	kTraditionalVariant
浅	淺	kTraditionalVariant
湾	灣	kTraditionalVariant
湿	濕	kTraditionalVariant
滞	滯	kTraditionalVariant
灯	燈	kTraditionalVariant
炉	爐	kTraditionalVariant
点	點	kTraditionalVariant
独	獨	kTraditionalVariant
狭	狹	kTraditionalVariant
献	獻	kTraditionalVariant
画	畫	kTraditionalVariant
盗	盜	kTraditionalVariant
礼	禮	kTraditionalVariant
禅	禪	kTraditionalVariant
称	稱	kTraditionalVariant
窃	竊	kTraditionalVariant
胆	膽	kTraditionalVariant
茎	莖	kTraditionalVariant
虫	蟲	kTraditionalVariant
蚕	蠶	kTraditionalVariant
蛮	蠻	kTraditionalVariant
装	裝	kTraditionalVariant
触	觸	kTraditionalVariant
誉	譽	kTraditionalVariant
践	踐	kTraditionalVariant
踊	踴	kTraditionalVariant
踪	蹤	kTraditionalVariant
辞	辭	kTraditionalVariant
随	隨	kTraditionalVariant
静	靜	kTraditionalVariant
麦	麥	kTraditionalVariant
